prompt,classes,answer_index
"Q: What is 85125*35306
A: 3005423250
B: 3005952840
Answer (A or B): A

Q: What is 97013*93691
A: 9089244983
B: 9090650348
Answer (B or A):","[' A', ' B']",0
"Q: What is 92468*76930
A: 7115101840
B: 7113563240
Answer (A or B): B

Q: What is 58631*96150
A: 5638332150
B: 5637370650
Answer (B or A):","[' A', ' B']",1
"Q: What is 62834*99804
A: 6271084536
B: 6273080616
Answer (A or B): A

Q: What is 49262*70651
A: 3480409562
B: 3481116072
Answer (B or A):","[' A', ' B']",0
"Q: What is 91884*43199
A: 3969296916
B: 3969944901
Answer (A or B): A

Q: What is 86907*71444
A: 6208983708
B: 6210412588
Answer (B or A):","[' A', ' B']",0
"Q: What is 92522*88024
A: 8144156528
B: 8145917008
Answer (A or B): A

Q: What is 64143*38163
A: 2447889309
B: 2448652569
Answer (B or A):","[' A', ' B']",0
"Q: What is 82274*30149
A: 2480478826
B: 2481081806
Answer (A or B): A

Q: What is 94694*73664
A: 6975538816
B: 6976275456
Answer (B or A):","[' A', ' B']",0
"Q: What is 55043*59059
A: 3251375127
B: 3250784537
Answer (A or B): B

Q: What is 48677*88716
A: 4319315892
B: 4318428732
Answer (B or A):","[' A', ' B']",1
"Q: What is 96576*94131
A: 9091736766
B: 9090795456
Answer (A or B): B

Q: What is 69511*68153
A: 4738746243
B: 4737383183
Answer (B or A):","[' A', ' B']",1
"Q: What is 56634*67703
A: 3834291702
B: 3835307247
Answer (A or B): A

Q: What is 42010*80449
A: 3379662490
B: 3380869225
Answer (B or A):","[' A', ' B']",0
"Q: What is 54100*54823
A: 2966472530
B: 2965924300
Answer (A or B): B

Q: What is 34321*64086
A: 2200456896
B: 2199495606
Answer (B or A):","[' A', ' B']",1
"Q: What is 49601*35064
A: 1739209464
B: 1739560104
Answer (A or B): A

Q: What is 81287*98756
A: 8027578972
B: 8029060312
Answer (B or A):","[' A', ' B']",0
"Q: What is 58206*84974
A: 4945996644
B: 4947696124
Answer (A or B): A

Q: What is 66072*89056
A: 5884108032
B: 5885443872
Answer (B or A):","[' A', ' B']",0
"Q: What is 40796*72509
A: 2958077164
B: 2959527344
Answer (A or B): A

Q: What is 45119*93759
A: 4230312321
B: 4232187501
Answer (B or A):","[' A', ' B']",0
"Q: What is 61855*32124
A: 1987672500
B: 1987030020
Answer (A or B): B

Q: What is 65525*45353
A: 2972662385
B: 2971755325
Answer (B or A):","[' A', ' B']",1
"Q: What is 73586*85853
A: 6318437388
B: 6317578858
Answer (A or B): B

Q: What is 43186*49183
A: 2125000698
B: 2124017038
Answer (B or A):","[' A', ' B']",1
"Q: What is 33499*46311
A: 1552298409
B: 1551372189
Answer (A or B): B

Q: What is 54709*45688
A: 2500230112
B: 2499544792
Answer (B or A):","[' A', ' B']",1
"Q: What is 34769*32835
A: 1141968465
B: 1141640115
Answer (A or B): B

Q: What is 54244*46239
A: 2508881901
B: 2508188316
Answer (B or A):","[' A', ' B']",1
"Q: What is 32986*85786
A: 2831452716
B: 2829736996
Answer (A or B): B

Q: What is 43303*64068
A: 2774977284
B: 2774336604
Answer (B or A):","[' A', ' B']",1
"Q: What is 75913*87156
A: 6617144988
B: 6616273428
Answer (A or B): B

Q: What is 38000*96012
A: 3649896180
B: 3648456000
Answer (B or A):","[' A', ' B']",1
"Q: What is 81285*56129
A: 4563287700
B: 4562445765
Answer (A or B): B

Q: What is 76996*91632
A: 7057130112
B: 7055297472
Answer (B or A):","[' A', ' B']",1
"Q: What is 37608*50736
A: 1908586848
B: 1908079488
Answer (A or B): B

Q: What is 74867*99399
A: 7443195918
B: 7441704933
Answer (B or A):","[' A', ' B']",1
"Q: What is 52913*31730
A: 1678929490
B: 1679405440
Answer (A or B): A

Q: What is 83727*96663
A: 8093303001
B: 8094752946
Answer (B or A):","[' A', ' B']",0
"Q: What is 62890*50108
A: 3152294280
B: 3151292120
Answer (A or B): B

Q: What is 31630*90024
A: 2849259600
B: 2847459120
Answer (B or A):","[' A', ' B']",1
"Q: What is 66815*47673
A: 3185748225
B: 3185271495
Answer (A or B): B

Q: What is 93154*76166
A: 7096690884
B: 7095167564
Answer (B or A):","[' A', ' B']",1
"Q: What is 47346*70671
A: 3345989166
B: 3347049231
Answer (A or B): A

Q: What is 84318*40580
A: 3421624440
B: 3422030240
Answer (B or A):","[' A', ' B']",0
"Q: What is 50981*61380
A: 3129213780
B: 3129827580
Answer (A or B): A

Q: What is 88737*79630
A: 7066127310
B: 7067719910
Answer (B or A):","[' A', ' B']",0
"Q: What is 34134*82725
A: 2825389650
B: 2823735150
Answer (A or B): B

Q: What is 84817*36131
A: 3064884337
B: 3064523027
Answer (B or A):","[' A', ' B']",1
"Q: What is 50668*88505
A: 4486141440
B: 4484371340
Answer (A or B): B

Q: What is 93866*30009
A: 2817124884
B: 2816824794
Answer (B or A):","[' A', ' B']",1
"Q: What is 91196*36534
A: 3332302674
B: 3331754664
Answer (A or B): B

Q: What is 54641*40940
A: 2237821340
B: 2237002540
Answer (B or A):","[' A', ' B']",1
"Q: What is 82666*84720
A: 7003463520
B: 7004734320
Answer (A or B): A

Q: What is 30444*57987
A: 1765356228
B: 1765936098
Answer (B or A):","[' A', ' B']",0
"Q: What is 99251*42816
A: 4249958976
B: 4249530816
Answer (A or B): B

Q: What is 45584*56019
A: 2554410381
B: 2553570096
Answer (B or A):","[' A', ' B']",1
