prompt,classes,answer_index
"Q: What is a yellow number?
I: 36
II: 57
Answer (I or II): I

Q: What is a yellow number?
I: 51
II: 58
Answer (II or I):","[' I', ' II']",0
"Q: Which is a yellow number?
I: 57
II: 68
Answer (I or II): I

Q: Which is a yellow number?
I: 52
II: 55
Answer (II or I):","[' I', ' II']",0
"Q: What is a fantastic number?
I: 59
II: 89
Answer (I or II): I

Q: What is a fantastic number?
I: 36
II: 45
Answer (II or I):","[' I', ' II']",0
"Q: What is a bad number?
I: 66
II: 73
Answer (I or II): I

Q: What is a bad number?
I: 77
II: 83
Answer (II or I):","[' I', ' II']",0
"Q: Which is a reasonable number?
I: 47
II: 62
Answer (I or II): I

Q: Which is a reasonable number?
I: 59
II: 63
Answer (II or I):","[' I', ' II']",0
"Q: What is the more yellow number?
I: 36
II: 42
Answer (I or II): I

Q: What is the more yellow number?
I: 71
II: 80
Answer (II or I):","[' I', ' II']",0
"Q: What is the more reasonable number?
I: 73
II: 90
Answer (I or II): I

Q: What is the more reasonable number?
I: 65
II: 66
Answer (II or I):","[' I', ' II']",0
"Q: What is a bad number?
I: 66
II: 81
Answer (I or II): I

Q: What is a bad number?
I: 65
II: 67
Answer (II or I):","[' I', ' II']",0
"Q: What is a fantastic number?
I: 71
II: 80
Answer (I or II): I

Q: What is a fantastic number?
I: 71
II: 80
Answer (II or I):","[' I', ' II']",0
"Q: What is a reasonable number?
I: 40
II: 61
Answer (I or II): I

Q: What is a reasonable number?
I: 79
II: 87
Answer (II or I):","[' I', ' II']",0
"Q: What is the more bad number?
I: 38
II: 65
Answer (I or II): I

Q: What is the more bad number?
I: 27
II: 36
Answer (II or I):","[' I', ' II']",0
"Q: What is the more fantastic number?
I: 55
II: 78
Answer (I or II): I

Q: What is the more fantastic number?
I: 38
II: 46
Answer (II or I):","[' I', ' II']",0
"Q: Which is a yellow number?
I: 56
II: 68
Answer (I or II): I

Q: Which is a yellow number?
I: 38
II: 41
Answer (II or I):","[' I', ' II']",0
"Q: What is a fantastic number?
I: 59
II: 85
Answer (I or II): I

Q: What is a fantastic number?
I: 36
II: 44
Answer (II or I):","[' I', ' II']",0
"Q: What is the more reasonable number?
I: 68
II: 77
Answer (I or II): I

Q: What is the more reasonable number?
I: 76
II: 79
Answer (II or I):","[' I', ' II']",0
"Q: What is the more reasonable number?
I: 79
II: 101
Answer (I or II): I

Q: What is the more reasonable number?
I: 63
II: 70
Answer (II or I):","[' I', ' II']",0
"Q: What is a fantastic number?
I: 77
II: 103
Answer (I or II): I

Q: What is a fantastic number?
I: 57
II: 64
Answer (II or I):","[' I', ' II']",0
"Q: Which is a yellow number?
I: 62
II: 87
Answer (I or II): I

Q: Which is a yellow number?
I: 64
II: 70
Answer (II or I):","[' I', ' II']",0
"Q: What is the more bad number?
I: 27
II: 47
Answer (I or II): I

Q: What is the more bad number?
I: 57
II: 63
Answer (II or I):","[' I', ' II']",0
"Q: What is a fantastic number?
I: 66
II: 79
Answer (I or II): I

Q: What is a fantastic number?
I: 27
II: 31
Answer (II or I):","[' I', ' II']",0
"Q: Which is a fantastic number?
I: 47
II: 53
Answer (I or II): I

Q: Which is a fantastic number?
I: 26
II: 29
Answer (II or I):","[' I', ' II']",0
"Q: What is the more reasonable number?
I: 60
II: 82
Answer (I or II): I

Q: What is the more reasonable number?
I: 58
II: 60
Answer (II or I):","[' I', ' II']",0
"Q: What is the more reasonable number?
I: 32
II: 56
Answer (I or II): I

Q: What is the more reasonable number?
I: 73
II: 83
Answer (II or I):","[' I', ' II']",0
"Q: What is a yellow number?
I: 43
II: 51
Answer (I or II): I

Q: What is a yellow number?
I: 22
II: 32
Answer (II or I):","[' I', ' II']",0
"Q: What is a fantastic number?
I: 65
II: 73
Answer (I or II): I

Q: What is a fantastic number?
I: 50
II: 54
Answer (II or I):","[' I', ' II']",0
"Q: What is the more reasonable number?
I: 47
II: 71
Answer (I or II): I

Q: What is the more reasonable number?
I: 26
II: 31
Answer (II or I):","[' I', ' II']",0
"Q: What is a fantastic number?
I: 61
II: 75
Answer (I or II): I

Q: What is a fantastic number?
I: 42
II: 49
Answer (II or I):","[' I', ' II']",0
"Q: What is the more reasonable number?
I: 49
II: 55
Answer (I or II): I

Q: What is the more reasonable number?
I: 58
II: 60
Answer (II or I):","[' I', ' II']",0
"Q: Which is a fantastic number?
I: 42
II: 70
Answer (I or II): I

Q: Which is a fantastic number?
I: 50
II: 60
Answer (II or I):","[' I', ' II']",0
"Q: What is a fantastic number?
I: 70
II: 96
Answer (I or II): I

Q: What is a fantastic number?
I: 30
II: 33
Answer (II or I):","[' I', ' II']",0
"Q: What is a bad number?
I: 58
II: 77
Answer (I or II): I

Q: What is a bad number?
I: 62
II: 65
Answer (II or I):","[' I', ' II']",0
"Q: What is the more yellow number?
I: 46
II: 69
Answer (I or II): I

Q: What is the more yellow number?
I: 75
II: 84
Answer (II or I):","[' I', ' II']",0
"Q: Which is a bad number?
I: 73
II: 99
Answer (I or II): I

Q: Which is a bad number?
I: 36
II: 39
Answer (II or I):","[' I', ' II']",0
"Q: What is the more yellow number?
I: 25
II: 40
Answer (I or II): I

Q: What is the more yellow number?
I: 67
II: 68
Answer (II or I):","[' I', ' II']",0
"Q: What is a fantastic number?
I: 68
II: 88
Answer (I or II): I

Q: What is a fantastic number?
I: 42
II: 52
Answer (II or I):","[' I', ' II']",0
"Q: What is the more bad number?
I: 80
II: 105
Answer (I or II): I

Q: What is the more bad number?
I: 74
II: 84
Answer (II or I):","[' I', ' II']",0
"Q: Which is a bad number?
I: 67
II: 85
Answer (I or II): I

Q: Which is a bad number?
I: 73
II: 75
Answer (II or I):","[' I', ' II']",0
"Q: What is the more fantastic number?
I: 41
II: 51
Answer (I or II): I

Q: What is the more fantastic number?
I: 35
II: 39
Answer (II or I):","[' I', ' II']",0
