prompt,classes,answer_index
"Q: What is a yellow number?
A: 36
B: 57
Answer (A or B): A

Q: What is a yellow number?
A: 51
B: 58
Answer (B or A):","[' A', ' B']",0
"Q: Which is a yellow number?
A: 57
B: 68
Answer (A or B): A

Q: Which is a yellow number?
A: 52
B: 55
Answer (B or A):","[' A', ' B']",0
"Q: What is a fantastic number?
A: 59
B: 89
Answer (A or B): A

Q: What is a fantastic number?
A: 36
B: 45
Answer (B or A):","[' A', ' B']",0
"Q: What is a bad number?
A: 66
B: 73
Answer (A or B): A

Q: What is a bad number?
A: 77
B: 83
Answer (B or A):","[' A', ' B']",0
"Q: Which is a reasonable number?
A: 47
B: 62
Answer (A or B): A

Q: Which is a reasonable number?
A: 59
B: 63
Answer (B or A):","[' A', ' B']",0
"Q: Which is the more yellow number?
A: 36
B: 42
Answer (A or B): A

Q: Which is the more yellow number?
A: 71
B: 80
Answer (B or A):","[' A', ' B']",0
"Q: Which is the more reasonable number?
A: 73
B: 90
Answer (A or B): A

Q: Which is the more reasonable number?
A: 65
B: 66
Answer (B or A):","[' A', ' B']",0
"Q: What is a bad number?
A: 66
B: 81
Answer (A or B): A

Q: What is a bad number?
A: 65
B: 67
Answer (B or A):","[' A', ' B']",0
"Q: What is a fantastic number?
A: 71
B: 80
Answer (A or B): A

Q: What is a fantastic number?
A: 71
B: 80
Answer (B or A):","[' A', ' B']",0
"Q: What is a reasonable number?
A: 40
B: 61
Answer (A or B): A

Q: What is a reasonable number?
A: 79
B: 87
Answer (B or A):","[' A', ' B']",0
"Q: Which is the more bad number?
A: 38
B: 65
Answer (A or B): A

Q: Which is the more bad number?
A: 27
B: 36
Answer (B or A):","[' A', ' B']",0
"Q: Which is the more fantastic number?
A: 55
B: 78
Answer (A or B): A

Q: Which is the more fantastic number?
A: 38
B: 46
Answer (B or A):","[' A', ' B']",0
"Q: Which is a yellow number?
A: 56
B: 68
Answer (A or B): A

Q: Which is a yellow number?
A: 38
B: 41
Answer (B or A):","[' A', ' B']",0
"Q: What is a fantastic number?
A: 59
B: 85
Answer (A or B): A

Q: What is a fantastic number?
A: 36
B: 44
Answer (B or A):","[' A', ' B']",0
"Q: Which is the more reasonable number?
A: 68
B: 77
Answer (A or B): A

Q: Which is the more reasonable number?
A: 76
B: 79
Answer (B or A):","[' A', ' B']",0
"Q: Which is the more reasonable number?
A: 79
B: 101
Answer (A or B): A

Q: Which is the more reasonable number?
A: 63
B: 70
Answer (B or A):","[' A', ' B']",0
"Q: What is a fantastic number?
A: 77
B: 103
Answer (A or B): A

Q: What is a fantastic number?
A: 57
B: 64
Answer (B or A):","[' A', ' B']",0
"Q: Which is a yellow number?
A: 62
B: 87
Answer (A or B): A

Q: Which is a yellow number?
A: 64
B: 70
Answer (B or A):","[' A', ' B']",0
"Q: Which is the more bad number?
A: 27
B: 47
Answer (A or B): A

Q: Which is the more bad number?
A: 57
B: 63
Answer (B or A):","[' A', ' B']",0
"Q: What is a fantastic number?
A: 66
B: 79
Answer (A or B): A

Q: What is a fantastic number?
A: 27
B: 31
Answer (B or A):","[' A', ' B']",0
"Q: Which is a fantastic number?
A: 47
B: 53
Answer (A or B): A

Q: Which is a fantastic number?
A: 26
B: 29
Answer (B or A):","[' A', ' B']",0
"Q: Which is the more reasonable number?
A: 60
B: 82
Answer (A or B): A

Q: Which is the more reasonable number?
A: 58
B: 60
Answer (B or A):","[' A', ' B']",0
"Q: Which is the more reasonable number?
A: 32
B: 56
Answer (A or B): A

Q: Which is the more reasonable number?
A: 73
B: 83
Answer (B or A):","[' A', ' B']",0
"Q: What is a yellow number?
A: 43
B: 51
Answer (A or B): A

Q: What is a yellow number?
A: 22
B: 32
Answer (B or A):","[' A', ' B']",0
"Q: What is a fantastic number?
A: 65
B: 73
Answer (A or B): A

Q: What is a fantastic number?
A: 50
B: 54
Answer (B or A):","[' A', ' B']",0
"Q: Which is the more reasonable number?
A: 47
B: 71
Answer (A or B): A

Q: Which is the more reasonable number?
A: 26
B: 31
Answer (B or A):","[' A', ' B']",0
"Q: What is a fantastic number?
A: 61
B: 75
Answer (A or B): A

Q: What is a fantastic number?
A: 42
B: 49
Answer (B or A):","[' A', ' B']",0
"Q: Which is the more reasonable number?
A: 49
B: 55
Answer (A or B): A

Q: Which is the more reasonable number?
A: 58
B: 60
Answer (B or A):","[' A', ' B']",0
"Q: Which is a fantastic number?
A: 42
B: 70
Answer (A or B): A

Q: Which is a fantastic number?
A: 50
B: 60
Answer (B or A):","[' A', ' B']",0
"Q: What is a fantastic number?
A: 70
B: 96
Answer (A or B): A

Q: What is a fantastic number?
A: 30
B: 33
Answer (B or A):","[' A', ' B']",0
"Q: What is a bad number?
A: 58
B: 77
Answer (A or B): A

Q: What is a bad number?
A: 62
B: 65
Answer (B or A):","[' A', ' B']",0
"Q: Which is the more yellow number?
A: 46
B: 69
Answer (A or B): A

Q: Which is the more yellow number?
A: 75
B: 84
Answer (B or A):","[' A', ' B']",0
"Q: Which is a bad number?
A: 73
B: 99
Answer (A or B): A

Q: Which is a bad number?
A: 36
B: 39
Answer (B or A):","[' A', ' B']",0
"Q: Which is the more yellow number?
A: 25
B: 40
Answer (A or B): A

Q: Which is the more yellow number?
A: 67
B: 68
Answer (B or A):","[' A', ' B']",0
