prompt,classes,answer_index
"Q: What is a yellow number?
B: 36
C: 57
Answer (B or C): B

Q: What is a yellow number?
B: 51
C: 58
Answer (C or B):","[' B', ' C']",0
"Q: Which is a yellow number?
B: 57
C: 68
Answer (B or C): B

Q: Which is a yellow number?
B: 52
C: 55
Answer (C or B):","[' B', ' C']",0
"Q: What is a fantastic number?
B: 59
C: 89
Answer (B or C): B

Q: What is a fantastic number?
B: 36
C: 45
Answer (C or B):","[' B', ' C']",0
"Q: What is a bad number?
B: 66
C: 73
Answer (B or C): B

Q: What is a bad number?
B: 77
C: 83
Answer (C or B):","[' B', ' C']",0
"Q: Which is a reasonable number?
B: 47
C: 62
Answer (B or C): B

Q: Which is a reasonable number?
B: 59
C: 63
Answer (C or B):","[' B', ' C']",0
"Q: What is the more yellow number?
B: 36
C: 42
Answer (B or C): B

Q: What is the more yellow number?
B: 71
C: 80
Answer (C or B):","[' B', ' C']",0
"Q: What is the more reasonable number?
B: 73
C: 90
Answer (B or C): B

Q: What is the more reasonable number?
B: 65
C: 66
Answer (C or B):","[' B', ' C']",0
"Q: What is a bad number?
B: 66
C: 81
Answer (B or C): B

Q: What is a bad number?
B: 65
C: 67
Answer (C or B):","[' B', ' C']",0
"Q: What is a fantastic number?
B: 71
C: 80
Answer (B or C): B

Q: What is a fantastic number?
B: 71
C: 80
Answer (C or B):","[' B', ' C']",0
"Q: What is a reasonable number?
B: 40
C: 61
Answer (B or C): B

Q: What is a reasonable number?
B: 79
C: 87
Answer (C or B):","[' B', ' C']",0
"Q: What is the more bad number?
B: 38
C: 65
Answer (B or C): B

Q: What is the more bad number?
B: 27
C: 36
Answer (C or B):","[' B', ' C']",0
"Q: What is the more fantastic number?
B: 55
C: 78
Answer (B or C): B

Q: What is the more fantastic number?
B: 38
C: 46
Answer (C or B):","[' B', ' C']",0
"Q: Which is a yellow number?
B: 56
C: 68
Answer (B or C): B

Q: Which is a yellow number?
B: 38
C: 41
Answer (C or B):","[' B', ' C']",0
"Q: What is a fantastic number?
B: 59
C: 85
Answer (B or C): B

Q: What is a fantastic number?
B: 36
C: 44
Answer (C or B):","[' B', ' C']",0
"Q: What is the more reasonable number?
B: 68
C: 77
Answer (B or C): B

Q: What is the more reasonable number?
B: 76
C: 79
Answer (C or B):","[' B', ' C']",0
"Q: What is the more reasonable number?
B: 79
C: 101
Answer (B or C): B

Q: What is the more reasonable number?
B: 63
C: 70
Answer (C or B):","[' B', ' C']",0
"Q: What is a fantastic number?
B: 77
C: 103
Answer (B or C): B

Q: What is a fantastic number?
B: 57
C: 64
Answer (C or B):","[' B', ' C']",0
"Q: Which is a yellow number?
B: 62
C: 87
Answer (B or C): B

Q: Which is a yellow number?
B: 64
C: 70
Answer (C or B):","[' B', ' C']",0
"Q: What is the more bad number?
B: 27
C: 47
Answer (B or C): B

Q: What is the more bad number?
B: 57
C: 63
Answer (C or B):","[' B', ' C']",0
"Q: What is a fantastic number?
B: 66
C: 79
Answer (B or C): B

Q: What is a fantastic number?
B: 27
C: 31
Answer (C or B):","[' B', ' C']",0
"Q: Which is a fantastic number?
B: 47
C: 53
Answer (B or C): B

Q: Which is a fantastic number?
B: 26
C: 29
Answer (C or B):","[' B', ' C']",0
