prompt,classes,answer_index
"$330 for a shirt seems a bit much. What do you think is a reasonable price for a shirt?
A: $300
B: $23
Answer (A or B):","[' A', ' B']",1
"There's this awesome shirt I want to buy but it's $350. What would be a reasonable price?
A: $290
B: $40
Answer (A or B):","[' A', ' B']",1
"I was in the store and I saw this shirt that I really liked but it was $350. Is that a reasonable price for a shirt?
A: $300
B: $33
Answer (A or B):","[' A', ' B']",1
"My friend has this really nice tee that cost like $360. Which is the more acceptable price for an alright shift?
A: $320
B: $24
Answer (A or B):","[' A', ' B']",1
"My friend has this really nice tee that cost like $230. Which is the more acceptable price for an alright shift?
A: $180
B: $32
Answer (A or B):","[' A', ' B']",1
"There's this awesome shirt I want to buy but it's $240. What would be a reasonable price?
A: $190
B: $18
Answer (A or B):","[' A', ' B']",1
"I just saw a nice T-Shirt that cost $300.
What would be a reasonable price for a decent shirt?
A: $240
B: $32
Answer (A or B):","[' A', ' B']",1
"I just saw a nice T-Shirt that cost $310.
What would be a reasonable price for a decent shirt?
A: $250
B: $25
Answer (A or B):","[' A', ' B']",1
"There's this awesome shirt I want to buy but it's $400. What would be a reasonable price?
A: $360
B: $32
Answer (A or B):","[' A', ' B']",1
"$340 for a shirt seems a bit much. What do you think is a reasonable price for a shirt?
A: $290
B: $16
Answer (A or B):","[' A', ' B']",1
"There's this awesome shirt I want to buy but it's $200. What would be a reasonable price?
A: $170
B: $38
Answer (A or B):","[' A', ' B']",1
"$400 for a shirt seems a bit much. What do you think is a reasonable price for a shirt?
A: $370
B: $34
Answer (A or B):","[' A', ' B']",1
"$300 for a shirt seems a bit much. What do you think is a reasonable price for a shirt?
A: $260
B: $38
Answer (A or B):","[' A', ' B']",1
"I was in the store and I saw this shirt that I really liked but it was $220. Is that a reasonable price for a shirt?
A: $180
B: $33
Answer (A or B):","[' A', ' B']",1
"My friend has this really nice tee that cost like $270. Which is the more acceptable price for an alright shift?
A: $230
B: $40
Answer (A or B):","[' A', ' B']",1
"There's this awesome shirt I want to buy but it's $340. What would be a reasonable price?
A: $310
B: $17
Answer (A or B):","[' A', ' B']",1
"I was in the store and I saw this shirt that I really liked but it was $360. Is that a reasonable price for a shirt?
A: $300
B: $18
Answer (A or B):","[' A', ' B']",1
"I was in the store and I saw this shirt that I really liked but it was $370. Is that a reasonable price for a shirt?
A: $320
B: $37
Answer (A or B):","[' A', ' B']",1
"I just saw a nice T-Shirt that cost $370.
What would be a reasonable price for a decent shirt?
A: $320
B: $32
Answer (A or B):","[' A', ' B']",1
"My friend has this really nice tee that cost like $390. Which is the more acceptable price for an alright shift?
A: $340
B: $29
Answer (A or B):","[' A', ' B']",1
"I just saw a nice T-Shirt that cost $390.
What would be a reasonable price for a decent shirt?
A: $330
B: $25
Answer (A or B):","[' A', ' B']",1
"There's this awesome shirt I want to buy but it's $270. What would be a reasonable price?
A: $220
B: $20
Answer (A or B):","[' A', ' B']",1
"My friend has this really nice tee that cost like $250. Which is the more acceptable price for an alright shift?
A: $220
B: $34
Answer (A or B):","[' A', ' B']",1
"I was in the store and I saw this shirt that I really liked but it was $350. Is that a reasonable price for a shirt?
A: $320
B: $17
Answer (A or B):","[' A', ' B']",1
"My friend has this really nice tee that cost like $240. Which is the more acceptable price for an alright shift?
A: $210
B: $17
Answer (A or B):","[' A', ' B']",1
"There's this awesome shirt I want to buy but it's $320. What would be a reasonable price?
A: $270
B: $31
Answer (A or B):","[' A', ' B']",1
"My friend has this really nice tee that cost like $260. Which is the more acceptable price for an alright shift?
A: $200
B: $33
Answer (A or B):","[' A', ' B']",1
"I was in the store and I saw this shirt that I really liked but it was $340. Is that a reasonable price for a shirt?
A: $280
B: $36
Answer (A or B):","[' A', ' B']",1
"I was in the store and I saw this shirt that I really liked but it was $220. Is that a reasonable price for a shirt?
A: $170
B: $34
Answer (A or B):","[' A', ' B']",1
"I just saw a nice T-Shirt that cost $350.
What would be a reasonable price for a decent shirt?
A: $300
B: $21
Answer (A or B):","[' A', ' B']",1
"My friend has this really nice tee that cost like $200. Which is the more acceptable price for an alright shift?
A: $150
B: $18
Answer (A or B):","[' A', ' B']",1
"My friend has this really nice tee that cost like $310. Which is the more acceptable price for an alright shift?
A: $270
B: $25
Answer (A or B):","[' A', ' B']",1
"$210 for a shirt seems a bit much. What do you think is a reasonable price for a shirt?
A: $180
B: $40
Answer (A or B):","[' A', ' B']",1
"My friend has this really nice tee that cost like $270. Which is the more acceptable price for an alright shift?
A: $240
B: $33
Answer (A or B):","[' A', ' B']",1
"There's this awesome shirt I want to buy but it's $390. What would be a reasonable price?
A: $360
B: $15
Answer (A or B):","[' A', ' B']",1
"I just saw a nice T-Shirt that cost $400.
What would be a reasonable price for a decent shirt?
A: $360
B: $34
Answer (A or B):","[' A', ' B']",1
"There's this awesome shirt I want to buy but it's $230. What would be a reasonable price?
A: $170
B: $17
Answer (A or B):","[' A', ' B']",1
"I was in the store and I saw this shirt that I really liked but it was $230. Is that a reasonable price for a shirt?
A: $200
B: $34
Answer (A or B):","[' A', ' B']",1
"I just saw a nice T-Shirt that cost $260.
What would be a reasonable price for a decent shirt?
A: $220
B: $37
Answer (A or B):","[' A', ' B']",1
"I just saw a nice T-Shirt that cost $350.
What would be a reasonable price for a decent shirt?
A: $310
B: $38
Answer (A or B):","[' A', ' B']",1
"I just saw a nice T-Shirt that cost $200.
What would be a reasonable price for a decent shirt?
A: $140
B: $34
Answer (A or B):","[' A', ' B']",1
"I just saw a nice T-Shirt that cost $280.
What would be a reasonable price for a decent shirt?
A: $250
B: $22
Answer (A or B):","[' A', ' B']",1
"I just saw a nice T-Shirt that cost $400.
What would be a reasonable price for a decent shirt?
A: $350
B: $26
Answer (A or B):","[' A', ' B']",1
"$250 for a shirt seems a bit much. What do you think is a reasonable price for a shirt?
A: $220
B: $31
Answer (A or B):","[' A', ' B']",1
"$210 for a shirt seems a bit much. What do you think is a reasonable price for a shirt?
A: $180
B: $37
Answer (A or B):","[' A', ' B']",1
"$260 for a shirt seems a bit much. What do you think is a reasonable price for a shirt?
A: $210
B: $26
Answer (A or B):","[' A', ' B']",1
"$380 for a shirt seems a bit much. What do you think is a reasonable price for a shirt?
A: $340
B: $37
Answer (A or B):","[' A', ' B']",1
"My friend has this really nice tee that cost like $210. Which is the more acceptable price for an alright shift?
A: $170
B: $20
Answer (A or B):","[' A', ' B']",1
"I was in the store and I saw this shirt that I really liked but it was $360. Is that a reasonable price for a shirt?
A: $310
B: $18
Answer (A or B):","[' A', ' B']",1
"There's this awesome shirt I want to buy but it's $340. What would be a reasonable price?
A: $300
B: $15
Answer (A or B):","[' A', ' B']",1
"$330 for a shirt seems a bit much. What do you think is a reasonable price for a shirt?
A: $280
B: $35
Answer (A or B):","[' A', ' B']",1
"I was in the store and I saw this shirt that I really liked but it was $320. Is that a reasonable price for a shirt?
A: $270
B: $19
Answer (A or B):","[' A', ' B']",1
"There's this awesome shirt I want to buy but it's $200. What would be a reasonable price?
A: $140
B: $38
Answer (A or B):","[' A', ' B']",1
"I just saw a nice T-Shirt that cost $300.
What would be a reasonable price for a decent shirt?
A: $270
B: $32
Answer (A or B):","[' A', ' B']",1
"I was in the store and I saw this shirt that I really liked but it was $240. Is that a reasonable price for a shirt?
A: $200
B: $39
Answer (A or B):","[' A', ' B']",1
"$310 for a shirt seems a bit much. What do you think is a reasonable price for a shirt?
A: $260
B: $36
Answer (A or B):","[' A', ' B']",1
"I was in the store and I saw this shirt that I really liked but it was $380. Is that a reasonable price for a shirt?
A: $340
B: $37
Answer (A or B):","[' A', ' B']",1
"I was in the store and I saw this shirt that I really liked but it was $320. Is that a reasonable price for a shirt?
A: $260
B: $35
Answer (A or B):","[' A', ' B']",1
"I just saw a nice T-Shirt that cost $200.
What would be a reasonable price for a decent shirt?
A: $160
B: $37
Answer (A or B):","[' A', ' B']",1
"I was in the store and I saw this shirt that I really liked but it was $250. Is that a reasonable price for a shirt?
A: $210
B: $22
Answer (A or B):","[' A', ' B']",1
